cluster,size,phq9_mean,core_symptoms_mean,symptom_count_mean
0,11013,19.039498774175975,6.204122400799056,8.419413420503043
1,3827,7.460935458583747,2.1486804285341,5.0062712307290305
2,773,0.0,0.0,0.0
