model,f1_mean,f1_std,f1_mean_std,auc_mean,auc_std,auc_mean_std
Logistic Regression,0.8708910418624238,0.0025490394833382625,0.8709 ± 0.0025,0.9538580129588923,0.0025087805973368063,0.9539 ± 0.0025
Random Forest,0.8296712080291446,0.0080788438989638,0.8297 ± 0.0081,0.9199432031701413,0.0059139677880369074,0.9199 ± 0.0059
XGBoost,0.8963010442611445,0.00877045031942839,0.8963 ± 0.0088,0.9625856117709237,0.003118589010331742,0.9626 ± 0.0031
